dataset,question_id,question,visual,answer,dimension,key,date,value_pct,parties
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerUndecided,gender,Female,2021-05-16,21,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerUndecided,gender,Female,2021-06-13,21,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerUndecided,gender,Female,2021-07-18,27,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,region,National,2021-04-16,28,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,region,National,2021-05-16,33,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,region,National,2021-06-13,31,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,region,National,2021-07-18,30,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,region,NSW,2021-04-16,26,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,region,NSW,2021-05-16,28,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,region,NSW,2021-06-13,26,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,region,NSW,2021-07-18,27,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,region,Vic,2021-04-16,29,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,region,Vic,2021-05-16,36,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,region,Vic,2021-06-13,32,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,region,Vic,2021-07-18,30,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,region,Qld,2021-04-16,28,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,region,Qld,2021-05-16,35,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,region,Qld,2021-06-13,39,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,region,Qld,2021-07-18,34,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,region,Rest of Australia,2021-04-16,30,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,region,Rest of Australia,2021-05-16,34,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,region,Rest of Australia,2021-06-13,31,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,region,Rest of Australia,2021-07-18,28,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,age,age-18-34,2021-04-16,26,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,age,age-18-34,2021-05-16,33,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,age,age-18-34,2021-06-13,30,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,age,age-18-34,2021-07-18,27,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,age,age-35-54,2021-04-16,32,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,age,age-35-54,2021-05-16,35,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,age,age-35-54,2021-06-13,36,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,age,age-35-54,2021-07-18,33,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,age,age-55+,2021-04-16,26,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,age,age-55+,2021-05-16,31,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,age,age-55+,2021-06-13,28,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,age,age-55+,2021-07-18,29,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,gender,National,2021-04-16,28,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,gender,National,2021-05-16,33,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,gender,National,2021-06-13,31,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,gender,National,2021-07-18,30,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,gender,Male,2021-04-16,22,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,gender,Male,2021-05-16,28,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,gender,Male,2021-06-13,26,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,gender,Male,2021-07-18,26,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,gender,Female,2021-04-16,34,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,gender,Female,2021-05-16,37,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,gender,Female,2021-06-13,36,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerSecond,gender,Female,2021-07-18,33,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
