Division,State,Party,Coalition_2PP_percent,Labor_2PP_percent,Swing,Year,Labor_2PP_minus_Coalition_2PP,New_swing
Calare,NSW,NP,60.74,39.26,-7.28,2010,-10.74,-7.28
Calwell,VIC,ALP,30.28,69.72,0.39,2010,19.72,0.39
Canberra,ACT,ALP,40.85,59.15,-2.67,2010,9.15,-2.67
Canning,WA,LP,52.19,47.81,2.16,2010,-2.19,2.16
Capricornia,QLD,ALP,46.32,53.68,-8.4,2010,3.68,-8.4
Casey,VIC,LP,54.18,45.82,1.75,2010,-4.18,1.75
Charlton,NSW,ALP,37.33,62.67,-0.24,2010,12.67,-0.24
Chifley,NSW,ALP,37.66,62.34,-7.34,2010,12.34,-7.34
Chisholm,VIC,ALP,43.89,56.11,-1.27,2010,6.11,-1.27
Cook,NSW,LP,62.66,37.34,-6.32,2010,-12.66,-6.32
Corangamite,VIC,ALP,49.59,50.41,-0.44,2010,0.41,-0.44
Corio,VIC,ALP,35.78,64.22,5.29,2010,14.22,5.29
Cowan,WA,LP,56.29,43.71,-5.01,2010,-6.29,-5.01
Cowper,NSW,NP,59.27,40.73,-8.03,2010,-9.27,-8.03
Cunningham,NSW,ALP,36.83,63.17,-3.7,2010,13.17,-3.7
Curtin,WA,LP,66.19,33.81,-2.93,2010,-16.19,-2.93
Dawson,QLD,LNQ,52.43,47.57,-5.02,2010,-2.43,-5.02
Deakin,VIC,ALP,47.59,52.41,1,2010,2.41,1
Clark (fmr Denison),TAS,ALP,34.18,65.82,0.53,2010,15.82,0.53
Dickson,QLD,LNQ,55.13,44.87,-5.89,2010,-5.13,-5.89
Dobell,NSW,ALP,44.93,55.07,1.14,2010,5.07,1.14
Dunkley,VIC,LP,51.02,48.98,3.02,2010,-1.02,3.02
Durack,WA,LP,63.67,36.33,-6.02,2010,-13.67,-6.02
Eden-Monaro,NSW,ALP,45.76,54.24,1.95,2010,4.24,1.95
Fadden,QLD,LNQ,64.19,35.81,-3.76,2010,-14.19,-3.76
Fairfax,QLD,LNQ,56.95,43.05,-3.98,2010,-6.95,-3.98
Farrer,NSW,LP,64.51,35.49,-3.32,2010,-14.51,-3.32
Fisher,QLD,LNQ,54.13,45.87,-0.6,2010,-4.13,-0.6
Flinders,VIC,LP,59.11,40.89,-0.86,2010,-9.11,-0.86
Flynn,QLD,LNQ,53.58,46.42,-5.82,2010,-3.58,-5.82
Forde,QLD,LNQ,51.63,48.37,-4.99,2010,-1.63,-4.99
Forrest,WA,LP,58.74,41.26,-3.26,2010,-8.74,-3.26
Fowler,NSW,ALP,41.24,58.76,-13.81,2010,8.76,-13.81
Franklin,TAS,ALP,39.18,60.82,6.79,2010,10.82,6.79
Fenner (fmr Fraser),ACT,ALP,35.8,64.2,-0.87,2010,14.2,-0.87
Fremantle,WA,ALP,44.3,55.7,-3.44,2010,5.7,-3.44
Gellibrand,VIC,ALP,26.1,73.9,2.44,2010,23.9,2.44
Gilmore,NSW,LP,55.32,44.68,-5.73,2010,-5.32,-5.73
Gippsland,VIC,NP,61.45,38.55,-5.54,2010,-11.45,-5.54
Goldstein,VIC,LP,56.47,43.53,-0.42,2010,-6.47,-0.42
